Ano;nomeUnidade;nomeUnidadeRecente;Sigla;Região;Estado;Tipo;siglaIES;Nome do Curso;nomeArea;gNP_CPC Contínuo;gNP_Enade;gNP_DocentesDoutores;gNP_DocentesMestres;gNP_IDD;gNP_Infraestrutura;gNP_OrgDidaticoPedagogica;gNP_OportunidadesAmpliacaoFormacao;gNP_RegimeTrabalho;gNB_DocentesDoutores;gNB_DocentesMestres;gNB_IDD;gNB_Infraestrutura;gNB_OrgDidaticoPedagogica;gNB_OportunidadesAmpliacaoFormacao;gNB_RegimeTrabalho;Cursos;Medida CPC
2019;Campus Xapuri;Campus Xapuri;IFAC;Norte;Acre;Nota Padronizada;IFAC;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,2;0,1;1,6;3,2;2,6;2,6;3;3,6;5;0,35;0,76;-1;5;5,2;5;1;1;2,3
2019;Campus Xapuri;Campus Xapuri;IFAC;Norte;Acre;Nota Bruta;IFAC;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,2;0,1;1,6;3,2;2,6;2,6;3;3,6;5;0,35;0,76;-1;5;5,2;5;1;1;2,3
2019;Campus Bambuí;Campus Bambuí;IFMG;Sudeste;Minas Gerais;Nota Padronizada;IFMG;Engenharia de Computação;Engenharia da Computação;2,5;2,1;1,4;2,4;2,3;3,6;2,8;3;5;0,3;0,78;-0,5;5,3;4,8;4,4;1;1;2,51
2019;Campus Bambuí;Campus Bambuí;IFMG;Sudeste;Minas Gerais;Nota Bruta;IFMG;Engenharia de Computação;Engenharia da Computação;2,5;2,1;1,4;2,4;2,3;3,6;2,8;3;5;0,3;0,78;-0,5;5,3;4,8;4,4;1;1;2,51
2019;Campus Barreiras;Campus Barreiras;IFBA;Nordeste;Bahia;Nota Padronizada;IFBA;Engenharia de Alimentos;Engenharia de Alimentos;2,5;2,8;0;1;3,2;1,4;2,3;2,4;5;0,2;0,86;1,5;4,4;5;4,6;1;1;2,5
2019;Campus Barreiras;Campus Barreiras;IFBA;Nordeste;Bahia;Nota Bruta;IFBA;Engenharia de Alimentos;Engenharia de Alimentos;2,5;2,8;0;1;3,2;1,4;2,3;2,4;5;0,2;0,86;1,5;4,4;5;4,6;1;1;2,5
2016;Campus Bragança;Campus Bragança;IFPA;Norte;Pará;Nota Padronizada;IFPA;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,5;1,9;1;3,6;2,5;2;2,8;2;5;0,2;0,82;0;4,5;5,2;3,8;1;1;2,5
2016;Campus Bragança;Campus Bragança;IFPA;Norte;Pará;Nota Bruta;IFPA;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,5;1,9;1;3,6;2,5;2;2,8;2;5;0,2;0,82;0;4,5;5,2;3,8;1;1;2,5
2019;Campus Bragança;Campus Bragança;IFPA;Norte;Pará;Nota Padronizada;IFPA;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,6;2;1,6;3,8;2,8;1,8;2,9;2,4;5;0,3;0,84;-0,5;4,6;5,2;4,2;1;1;2,69
2019;Campus Bragança;Campus Bragança;IFPA;Norte;Pará;Nota Bruta;IFPA;Gestão Ambiental;Tecnologia em Gestão Ambiental;2,6;2;1,6;3,8;2,8;1,8;2,9;2,4;5;0,3;0,84;-0,5;4,6;5,2;4,2;1;1;2,69
