Ano;Sigla;Região;Estado;Sigla da IES;g_IGC (Faixa);IGC (Contínuo);g_Cursos com CPC no triênio;g_Conceito Médio de Graduação;g_Conceito Médio de Mestrado;g_Conceito Médio do Doutorado;g_Alfa;g_Beta;g_Gama;Número de instituições (IGC);Medida IGC
2013;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2014;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2015;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2016;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2017;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2018;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2019;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2020;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2021;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2022;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2023;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2024;UFMT;Centro-Oeste;Mato Grosso;UFMT;4;3,24;90;2,75;4,2;4,5;0,75;0,1;0,05;1;4
2013;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2014;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2015;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2016;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2017;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2018;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2019;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2020;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2021;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2022;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2023;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2024;UnB;Centro-Oeste;Distrito Federal;UNB;4;3,94;80;3,25;4,5;4,75;0,5;0,2;0,2;1;4
2013;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2014;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2015;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2016;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2017;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2018;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2019;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2020;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2021;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2022;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2023;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2024;UFS;Nordeste;Sergipe;UFS;4;3,37;90;3;4,2;4,5;0,8;0,1;0,05;1;4
2013;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2014;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2015;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2016;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2017;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2018;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2019;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2020;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2021;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2022;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2023;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2024;UFAM;Norte;Amazonas;UFAM;4;3,05;70;2,75;4,2;4,25;0,8;0,1;0;1;4
2013;UFPI;Nordeste;Piauí;UFPI;4;2,96;70;2,5;4,3;4,5;0,85;0,1;0;1;4
2014;UFPI;Nordeste;Piauí;UFPI;4;2,96;70;2,5;4,3;4,5;0,85;0,1;0;1;4
2015;UFPI;Nordeste;Piauí;UFPI;4;2,96;70;2,5;4,3;4,5;0,85;0,1;0;1;4
2016;UFPI;Nordeste;Piauí;UFPI;4;2,96;70;2,5;4,3;4,5;0,85;0,1;0;1;4
