Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Resultado Primário (Cidadã);Despesa empenhada;Despesa liquidada;Despesa paga;Despesa liq&RP;Despesa empenhada a liquidar;Crédito Disponível
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Discricionário;38655980,66;15323135,61;13925978,04;32721893,76;23332845,05;8572520,08
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Emenda de Bancada;5248111,31;1336200,00;842690,00;10545752,35;3911911,31;13413888,69
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Emenda Individual;;;;;;1200000,00
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Financeiro;20403056,25;17502946,92;17502946,92;17502946,92;2900109,33;17645609,75
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Obrigatório;133718958,95;114038776,91;114038776,91;114718859,08;19680182,04;107566654,05
2024;Centro-Oeste;DF;Distrito Federal;"Institutos Federais, Cefet's e Colégio Pedro II";IFB;Instituto Federal de Brasília;Recurso do PAC;2696928,84;94606,67;92418,53;94606,67;2602322,17;
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Discricionário;54134690,10;24173436,38;22867302,89;40829851,36;29961253,72;13876387,47
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Emenda de Bancada;;;;2607497,86;;
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Emenda de Comissão;;;;472547,80;;
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Financeiro;65973979,00;30457367,20;30457367,20;30457367,20;35516611,80;
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Obrigatório;287777160,73;141469002,86;138037329,16;141674157,82;146308157,87;23990206,27
2024;Centro-Oeste;GO;Goiás;"Institutos Federais, Cefet's e Colégio Pedro II";IF GOIANO;Instituto Federal Goiano;Recurso do PAC;2946447,00;500990,77;;500990,77;2445456,23;
